,City,Country,Lat,Long,Max Temp,Humidity,Wind Speed,Cloud Cover
0,Puerto El Triunfo,SV,13.28,-88.55,29.0,79,2.1,Clouds
1,Puerto El Triunfo,SV,13.28,-88.55,29.0,79,2.1,Clouds
2,Atuona,PF,-9.8,-139.03,27.49,75,8.76,Clear
3,Atuona,PF,-9.8,-139.03,27.49,75,8.76,Clear
4,Vaini,TO,-21.2,-175.2,27.0,74,3.6,Clouds
5,Vaini,TO,-21.2,-175.2,27.0,74,3.6,Clouds
6,Hermanus,ZA,-34.42,19.23,13.16,79,4.37,Clear
7,Hermanus,ZA,-34.42,19.23,13.16,79,4.37,Clear
8,Philadelphia,US,39.95,-75.16,21.67,68,3.6,Clouds
9,Philadelphia,US,39.95,-75.16,21.67,68,3.6,Clouds
10,Madimba,TZ,-10.4,40.33,22.8,90,4.42,Clear
11,Madimba,TZ,-10.4,40.33,22.8,90,4.42,Clear
12,East London,ZA,-33.02,27.91,18.16,72,4.97,Rain
13,East London,ZA,-33.02,27.91,18.16,72,4.97,Rain
14,Copiapó,CL,-27.37,-70.33,14.0,87,2.6,Clear
15,Copiapó,CL,-27.37,-70.33,14.0,87,2.6,Clear
16,Basco,PH,20.45,121.97,27.75,71,3.17,Clear
17,Basco,PH,20.45,121.97,27.75,71,3.17,Clear
18,Atar,MR,20.52,-13.05,25.45,20,3.01,Clouds
19,Atar,MR,20.52,-13.05,25.45,20,3.01,Clouds
20,San Rafael,AR,-34.62,-68.33,15.17,45,5.13,Clouds
21,San Rafael,AR,-34.62,-68.33,15.17,45,5.13,Clouds
22,Hobart,AU,-42.88,147.33,16.67,55,2.6,Clouds
23,Hobart,AU,-42.88,147.33,16.67,55,2.6,Clouds
24,Qaanaaq,GL,77.48,-69.36,-7.18,94,1.63,Snow
25,Qaanaaq,GL,77.48,-69.36,-7.18,94,1.63,Snow
26,Hamilton,US,39.18,-84.53,14.44,93,2.36,Rain
27,Hamilton,US,39.18,-84.53,14.44,93,2.36,Rain
28,Punta Arenas,CL,-53.15,-70.92,1.0,83,3.1,Clouds
29,Punta Arenas,CL,-53.15,-70.92,1.0,83,3.1,Clouds
30,Deputatsky,RU,69.3,139.9,-9.57,90,1.73,Clouds
31,Deputatsky,RU,69.3,139.9,-9.57,90,1.73,Clouds
32,Meïganga,CM,6.52,14.3,19.86,68,0.05,Rain
33,Rettikhovka,RU,44.17,132.77,4.17,87,4.21,Clouds
34,Rettikhovka,RU,44.17,132.77,4.17,87,4.21,Clouds
35,Talnakh,RU,69.49,88.4,-7.0,92,10.0,Clouds
36,Talnakh,RU,69.49,88.4,-7.0,92,10.0,Clouds
37,Ponta do Sol,PT,32.67,-17.1,18.0,63,6.2,Clouds
38,Ponta do Sol,PT,32.67,-17.1,18.0,63,6.2,Clouds
39,Jalu,LY,29.03,21.55,16.58,75,4.19,Clear
40,Jalu,LY,29.03,21.55,16.58,75,4.19,Clear
41,Codrington,AU,-38.27,141.97,14.03,71,1.77,Clouds
42,Codrington,AU,-38.27,141.97,14.03,71,1.77,Clouds
43,Kashgar,CN,39.45,75.98,17.0,29,7.0,Clouds
44,Kashgar,CN,39.45,75.98,17.0,29,7.0,Clouds
45,Kruisfontein,ZA,-34.0,24.73,13.73,86,4.79,Rain
46,Kruisfontein,ZA,-34.0,24.73,13.73,86,4.79,Rain
47,Ushuaia,AR,-54.8,-68.3,4.0,69,7.2,Clouds
